1,1,21472,125,1
2,1,\N,131,2
3,2,\N,131,2
4,1,\N,127,3
5,3,\N,131,4
6,4,\N,131,4
7,5,\N,131,4
9,6,\N,131,4
10,7,\N,131,4
11,8,\N,131,4
12,3,\N,127,3
13,9,\N,131,4
14,4,\N,127,3
15,10,\N,131,4
16,5,\N,127,3
17,11,\N,131,4
18,12,\N,131,4
19,13,\N,131,4
20,14,\N,131,4
21,15,\N,131,4
22,16,\N,131,4
23,17,\N,131,4
24,18,\N,131,4
25,19,\N,131,4
26,20,\N,131,4
27,21,\N,131,4
28,22,\N,131,4
29,23,\N,131,4
30,2,21474,125,1
31,24,\N,131,4
32,25,\N,131,4
33,26,\N,131,4
34,27,\N,131,4
35,28,\N,131,4
36,29,\N,131,4
37,30,\N,131,4
38,31,\N,131,4
39,32,\N,131,4
40,33,\N,131,4
41,34,\N,131,4
42,35,\N,131,4
43,36,\N,131,4
44,37,\N,131,4
45,38,\N,131,4
46,39,\N,131,4
47,40,\N,131,4
48,41,\N,131,4
49,42,\N,131,4
50,43,\N,131,4
51,44,\N,131,4
52,45,\N,131,4
53,46,\N,131,4
54,47,\N,131,4
55,48,\N,131,4
56,49,\N,131,4
57,50,\N,131,4
58,51,\N,131,4
59,52,\N,131,4
60,53,\N,131,4
61,54,\N,131,4
62,55,\N,131,4
63,56,\N,131,4
64,57,\N,131,4
65,58,\N,131,4
66,59,\N,131,4
67,60,\N,131,4
69,61,\N,131,4
70,62,\N,131,4
71,63,\N,131,4
72,64,\N,131,4
73,65,\N,131,4
74,66,\N,131,4
75,67,\N,131,4
76,68,\N,131,4
77,69,\N,131,2
78,70,\N,131,2
79,71,\N,131,2
80,72,\N,131,2
81,73,\N,131,2
82,74,\N,131,2
83,75,\N,131,2
84,76,\N,131,2
85,7,\N,127,3
86,8,\N,127,3
87,3,\N,125,1
88,9,\N,127,3
89,10,\N,127,3
90,11,\N,127,3
91,12,\N,127,3
92,13,\N,127,3
95,16,\N,127,4
